id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,6,245,0,3,0,0
1,Tarapaca,9,143,1,1,0,0
2,Antofagasta,25,391,1,3,0,0
3,Atacama,3,24,0,0,0,0
4,Coquimbo,1,73,0,0,0,0
5,Valparaiso,18,454,1,9,0,0
13,Metropolitana,404,7165,3,89,0,0
6,OHiggins,4,85,0,1,0,0
7,Maule,1,350,0,10,0,0
16,Nuble,10,725,0,14,0,0
8,Biobio,13,696,0,5,0,0
9,Araucania,19,1203,1,27,0,0
14,Los Rios,3,177,0,3,0,0
10,Los Lagos,5,465,0,8,0,0
11,Aysen,0,7,0,0,0,0
12,Magallanes,31,655,0,8,0,0
