id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,12,87,0,0,0,0
1,Tarapaca,6,35,0,0,0,0
2,Antofagasta,18,110,0,1,0,0
3,Atacama,3,13,0,0,0,0
4,Coquimbo,0,61,0,0,0,0
5,Valparaiso,11,241,0,2,0,0
13,Metropolitana,361,3193,8,29,0,0
6,OHiggins,0,44,0,0,0,0
7,Maule,3,131,0,2,0,0
16,Nuble,18,589,0,6,0,0
8,Biobio,14,474,0,2,0,0
9,Araucania,23,712,0,16,0,0
14,Los Rios,6,124,0,2,0,0
10,Los Lagos,9,349,0,2,0,0
11,Aysen,0,7,0,0,0,0
12,Magallanes,45,331,0,3,0,0
