id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,10,63,0,0,0,0
1,Tarapaca,3,26,0,0,0,0
2,Antofagasta,8,77,0,1,0,0
3,Atacama,2,8,0,0,0,0
4,Coquimbo,4,56,0,0,0,0
5,Valparaiso,11,225,1,2,0,0
13,Metropolitana,198,2548,2,14,0,0
6,OHiggins,1,43,0,0,0,0
7,Maule,11,119,0,2,0,0
16,Nuble,39,561,0,5,0,0
8,Biobio,29,439,0,2,0,0
9,Araucania,57,669,1,15,0,0
14,Los Rios,5,114,0,2,0,0
10,Los Lagos,26,325,0,2,0,0
11,Aysen,0,7,0,0,0,0
12,Magallanes,26,266,1,3,0,0
